City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,78.28,clear sky,-9.8,-139.0333,Villa Enata
1,Scottsbluff,US,48.78,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
5,Katsuura,JP,48.24,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
6,Ushuaia,AR,47.86,light rain,-54.8,-68.3,Albatross Hotel
7,Bredasdorp,ZA,76.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
9,Busselton,AU,73.63,scattered clouds,-33.65,115.3333,Observatory Guest House
12,Masterton,NZ,67.95,overcast clouds,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
13,Guerrero Negro,MX,61.25,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
14,Hilo,US,69.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
16,Hermanus,ZA,76.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
17,Saldanha,ZA,64.45,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
20,Airai,TL,67.28,overcast clouds,-8.9266,125.4092,
21,Mataura,NZ,53.47,clear sky,-46.1927,168.8643,Ellie's Villa
22,Severo-Kurilsk,RU,30.25,light snow,50.6789,156.125,Kak Doma
25,Ancud,CL,60.33,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
26,New Norfolk,AU,68.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
31,Rancho Palos Verdes,US,67.48,clear sky,33.7445,-118.387,Terranea Resort
34,Kapaa,US,74.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Port Alfred,ZA,79.48,clear sky,-33.5906,26.891,The Halyards Hotel
36,San Quintin,MX,59.16,scattered clouds,30.4833,-115.95,Don Eddie's Landing
37,Burnie,AU,66.94,scattered clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
39,Lubsko,PL,38.88,overcast clouds,51.7847,14.972,Duet Hotel i restauracja
40,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
41,Japura,ID,78.46,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
42,Drochtersen,DE,46.62,overcast clouds,53.7102,9.3846,Ferienwohnungen Schröder
45,San Patricio,US,52.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
46,Chuy,UY,60.93,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
49,Puerto Ayora,EC,71.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Ponta Delgada,PT,59.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
51,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
52,Bilma,NE,66.56,clear sky,18.6853,12.9164,Expeditions Ténére voyages
53,Victoria,HK,68.18,broken clouds,22.2855,114.1577,Mini Hotel Central
54,Dahra,DZ,42.19,clear sky,36.2546,0.8519,Ein Mtabol
56,Sinop,TR,39.6,overcast clouds,41.7711,34.8709,
57,Hobart,AU,69.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
58,Salalah,OM,78.46,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
59,Bluff,NZ,53.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
60,Cao Bang,VN,55.78,overcast clouds,22.6667,106.25,khách sạn 88
61,Nishihara,JP,69.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
62,Asau,RO,37.96,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
64,Saint George,US,49.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
65,Punta Arenas,CL,48.31,broken clouds,-53.15,-70.9167,Hotel Hain
67,Coari,BR,71.56,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
70,Alenquer,BR,75.54,overcast clouds,-1.9417,-54.7383,Detinha Hotel
71,Kushima,JP,48.24,overcast clouds,31.4583,131.2333,Hanaoka
73,Rajapur,IN,79.72,clear sky,25.3833,81.15,Sahu Ji Galla Mills
74,Mar Del Plata,AR,59.88,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
