City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,78.28,75,1,18.32,clear sky
1,Scottsbluff,US,41.8666,-103.6672,48.78,29,0,18.99,clear sky
2,Srednekolymsk,RU,67.45,153.6833,-39.39,99,54,4.88,broken clouds
3,Tiruchchendur,IN,8.4833,78.1167,93.49,59,2,15.1,clear sky
4,Kilinochchi,LK,9.3961,80.3982,83.41,52,10,10.65,clear sky
5,Katsuura,JP,35.1333,140.3,48.24,79,62,6.02,broken clouds
6,Ushuaia,AR,-54.8,-68.3,47.86,87,100,11.5,light rain
7,Bredasdorp,ZA,-34.5322,20.0403,76.28,78,0,1.14,clear sky
8,Yellowknife,CA,62.456,-114.3525,-8.59,83,100,12.66,light snow
9,Busselton,AU,-33.65,115.3333,73.63,58,34,10.31,scattered clouds
10,Upernavik,GL,72.7868,-56.1549,-15.47,86,100,11.25,overcast clouds
11,Khatanga,RU,71.9667,102.5,-8.46,91,100,15.01,overcast clouds
12,Masterton,NZ,-40.9597,175.6575,67.95,98,100,2.21,overcast clouds
13,Guerrero Negro,MX,27.9769,-114.0611,61.25,48,0,2.3,clear sky
14,Hilo,US,19.7297,-155.09,69.53,92,100,4.61,light rain
15,Clyde River,CA,70.4692,-68.5914,-32.57,68,100,3.44,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,76.8,75,2,6.46,clear sky
17,Saldanha,ZA,-33.0117,17.9442,64.45,79,47,11.05,scattered clouds
18,Madras,IN,13.0878,80.2785,87.78,64,20,13.8,few clouds
19,Nanortalik,GL,60.1432,-45.2371,10.98,65,2,52.9,clear sky
20,Airai,TL,-8.9266,125.4092,67.28,88,100,1.52,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,53.47,83,0,1.45,clear sky
22,Severo-Kurilsk,RU,50.6789,156.125,30.25,92,57,16.51,light snow
23,Saint-Philippe,RE,-21.3585,55.7679,83.79,85,100,12.48,light rain
