City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Francois,FR,2022-02-03 08:47:28,46.4154,3.9054,42.67,100,100,6.91
1,Saint-Philippe,RE,2022-02-03 08:47:29,-21.3585,55.7679,79.11,97,100,34.76
2,Santa Cruz,BO,2022-02-03 08:45:04,-17.8,-63.1667,72.86,94,20,6.91
3,Vila Velha,BR,2022-02-03 08:47:30,-20.3297,-40.2925,75.15,97,75,2.3
4,Quatre Cocos,MU,2022-02-03 08:47:31,-20.2078,57.7625,79.09,91,100,23.85
5,Richards Bay,ZA,2022-02-03 08:47:32,-28.783,32.0377,93.9,47,6,6.26
6,Port Hardy,CA,2022-02-03 08:46:10,50.6996,-127.4199,40.75,93,100,12.66
7,Narsaq,GL,2022-02-03 08:47:33,60.9167,-46.05,23.22,94,100,10.56
8,Svetlyy,RU,2022-02-03 08:47:33,54.675,20.1347,32.97,93,98,10.4
9,Rawson,AR,2022-02-03 08:47:34,-43.3002,-65.1023,68.34,51,4,12.26
10,Bethel,US,2022-02-03 08:47:35,41.3712,-73.414,39.76,91,100,0.0
11,Port Alfred,ZA,2022-02-03 08:47:36,-33.5906,26.891,75.65,80,93,12.08
12,Bluff,NZ,2022-02-03 08:47:37,-46.6,168.3333,55.8,59,100,13.4
13,Bredasdorp,ZA,2022-02-03 08:47:38,-34.5322,20.0403,67.32,73,84,21.85
14,Myslenice,PL,2022-02-03 08:47:39,49.8338,19.9383,33.39,84,99,8.12
15,Georgetown,MY,2022-02-03 08:46:27,5.4112,100.3354,86.95,74,40,5.01
16,Lorengau,PG,2022-02-03 08:47:40,-2.0226,147.2712,80.19,78,100,6.93
17,Busselton,AU,2022-02-03 08:47:41,-33.65,115.3333,97.05,30,57,6.29
18,Mahebourg,MU,2022-02-03 08:47:41,-20.4081,57.7,79.25,94,75,26.46
19,Barrow,US,2022-02-03 08:47:42,71.2906,-156.7887,-23.78,76,40,6.91
20,Bontang,ID,2022-02-03 08:47:43,0.1333,117.5,83.3,71,94,7.31
21,Chokurdakh,RU,2022-02-03 08:47:44,70.6333,147.9167,-26.72,97,86,5.3
22,Boyolangu,ID,2022-02-03 08:47:45,-8.1181,111.8935,83.55,75,53,7.31
23,Yellowknife,CA,2022-02-03 08:47:46,62.456,-114.3525,-30.59,80,0,10.36
24,Hermanus,ZA,2022-02-03 08:47:47,-34.4187,19.2345,62.91,80,99,14.88
25,Dingli,MT,2022-02-03 08:47:48,35.8614,14.3822,56.8,77,0,11.5
26,Vaini,TO,2022-02-03 08:47:48,-21.2,-175.2,78.96,94,40,2.3
27,Punta Arenas,CL,2022-02-03 08:47:49,-53.15,-70.9167,42.91,65,75,6.91
28,Hithadhoo,MV,2022-02-03 08:47:50,-0.6,73.0833,82.0,69,67,4.03
29,Pavlodar,KZ,2022-02-03 08:47:51,52.3,76.95,8.4,92,0,6.71
30,Bengkulu,ID,2022-02-03 08:45:00,-3.8004,102.2655,84.97,64,87,6.08
31,Atuona,PF,2022-02-03 08:47:52,-9.8,-139.0333,78.33,78,88,15.12
32,Aksay,RU,2022-02-03 08:47:53,47.26,39.87,46.62,88,100,11.99
